3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
101.0344 	EXP 	grating: autoDraw = True
101.3346 	EXP 	grating: autoDraw = False
101.4234 	EXP 	New trial (rep=48, index=0): None
101.4277 	DATA 	Keypress: down
101.4348 	EXP 	fixation: autoDraw = False
101.4348 	EXP 	grating: autoDraw = False
101.4348 	EXP 	grating: ori = 0.0
101.4348 	EXP 	fixation: autoDraw = True
102.4343 	EXP 	fixation: autoDraw = False
102.4343 	EXP 	grating: autoDraw = True
102.7342 	EXP 	grating: autoDraw = False
102.8059 	EXP 	New trial (rep=49, index=0): None
102.8094 	DATA 	Keypress: up
102.8177 	EXP 	fixation: autoDraw = False
102.8177 	EXP 	grating: autoDraw = False
102.8177 	EXP 	grating: ori = -4.0
102.8177 	EXP 	fixation: autoDraw = True
103.8182 	EXP 	fixation: autoDraw = False
103.8182 	EXP 	grating: autoDraw = True
104.1183 	EXP 	grating: autoDraw = False
104.2032 	EXP 	New trial (rep=50, index=0): None
104.2074 	DATA 	Keypress: up
104.2097 	EXP 	fixation: autoDraw = False
104.2097 	EXP 	grating: autoDraw = False
104.2097 	EXP 	grating: ori = -5.0
104.2097 	EXP 	fixation: autoDraw = True
105.2018 	EXP 	grating: autoDraw = True
105.2186 	EXP 	fixation: autoDraw = False
105.5016 	EXP 	grating: autoDraw = False
105.5899 	EXP 	New trial (rep=51, index=0): None
105.5937 	DATA 	Keypress: down
105.6013 	EXP 	fixation: autoDraw = False
105.6013 	EXP 	grating: autoDraw = False
105.6013 	EXP 	grating: ori = 4.0
105.6013 	EXP 	fixation: autoDraw = True
106.6016 	EXP 	fixation: autoDraw = False
106.6016 	EXP 	grating: autoDraw = True
106.9016 	EXP 	grating: autoDraw = False
107.1908 	EXP 	New trial (rep=52, index=0): None
107.1960 	DATA 	Keypress: up
107.2018 	EXP 	fixation: autoDraw = False
107.2018 	EXP 	grating: autoDraw = False
107.2018 	EXP 	grating: ori = 4.0
107.2018 	EXP 	fixation: autoDraw = True
108.2019 	EXP 	fixation: autoDraw = False
108.2019 	EXP 	grating: autoDraw = True
108.5018 	EXP 	grating: autoDraw = False
108.5746 	DATA 	Keypress: down
108.5907 	EXP 	New trial (rep=53, index=0): None
108.6015 	EXP 	fixation: autoDraw = False
108.6015 	EXP 	grating: autoDraw = False
108.6015 	EXP 	grating: ori = 0.0
108.6015 	EXP 	fixation: autoDraw = True
109.6016 	EXP 	fixation: autoDraw = False
109.6016 	EXP 	grating: autoDraw = True
109.9017 	EXP 	grating: autoDraw = False
110.2909 	EXP 	New trial (rep=54, index=0): None
110.2946 	DATA 	Keypress: up
110.3018 	EXP 	fixation: autoDraw = False
110.3018 	EXP 	grating: autoDraw = False
110.3018 	EXP 	grating: ori = -4.0
110.3018 	EXP 	fixation: autoDraw = True
111.3021 	EXP 	fixation: autoDraw = False
111.3021 	EXP 	grating: autoDraw = True
111.6017 	EXP 	grating: autoDraw = False
111.6918 	EXP 	New trial (rep=55, index=0): None
111.6966 	DATA 	Keypress: down
111.7017 	EXP 	fixation: autoDraw = False
111.7017 	EXP 	grating: autoDraw = False
111.7017 	EXP 	grating: ori = -5.0
111.7017 	EXP 	fixation: autoDraw = True
112.7020 	EXP 	fixation: autoDraw = False
112.7020 	EXP 	grating: autoDraw = True
113.0021 	EXP 	grating: autoDraw = False
113.0752 	EXP 	New trial (rep=56, index=0): None
113.0790 	DATA 	Keypress: down
113.0851 	EXP 	fixation: autoDraw = False
113.0851 	EXP 	grating: autoDraw = False
113.0851 	EXP 	grating: ori = 0.0
